year,mean_cell_exceedance_class,dominant_gridcell_decision,Province,District,mean_exceedance_probability,area_prop_yes,area_prop_uncertain,area_prop_no,decision_valid_raster_area_km2,decision_aggregation_method,decision_fallback_distance_km,decision_fallback_cell_longitude,decision_fallback_cell_latitude,mean_exceedance_probability_pct,area_pct_yes,area_pct_uncertain,area_pct_no
2007,Uncertain,Uncertain,Niassa,Lago,0.5436161204529674,0.08633883291120883,0.7724759739501397,0.1411851931386523,6296.419960532654,area_weighted_exact,NA,NA,NA,54.36161204529674,8.633883291120883,77.24759739501397,14.11851931386523
2007,No,No,Niassa,Lichinga,0.15036780228027213,0.005202309522106783,0.3028749017026625,0.6919227887752306,256.43170991825144,area_weighted_exact,NA,NA,NA,15.036780228027213,0.5202309522106783,30.287490170266253,69.19227887752307
2007,Uncertain,Uncertain,Niassa,Majune,0.759385753182976,0.320903464220377,0.6790965357796201,0,11297.875789274443,area_weighted_exact,NA,NA,NA,75.9385753182976,32.090346422037705,67.90965357796202,0
2007,Yes,Yes,Niassa,Mandimba,0.8020885281642108,0.5728607962105383,0.4271392037894624,0,4551.2443425621595,area_weighted_exact,NA,NA,NA,80.20885281642109,57.28607962105383,42.71392037894624,0
2007,Yes,Yes,Niassa,Marrupa,0.8376541473006387,0.7175568777211924,0.2807282462739097,0.0017148760048986632,17455.050177347377,area_weighted_exact,NA,NA,NA,83.76541473006387,71.75568777211923,28.07282462739097,0.17148760048986633
2007,Yes,Uncertain,Niassa,Maúa,0.8127209283603565,0.48593194827666786,0.5140680517233311,0,8046.672692386481,area_weighted_exact,NA,NA,NA,81.27209283603565,48.593194827666785,51.406805172333115,0
2007,Uncertain,Uncertain,Niassa,Mavago,0.5916667861840812,0.2589794589814163,0.5967119808406536,0.14430856017792912,8982.636971584485,area_weighted_exact,NA,NA,NA,59.16667861840812,25.89794589814163,59.67119808406536,14.430856017792912
2007,Uncertain,Yes,Niassa,Mecanhelas,0.7166912898787237,0.47189274094654227,0.46470185381551776,0.06340540523793987,4680.583700161123,area_weighted_exact,NA,NA,NA,71.66912898787237,47.18927409465422,46.47018538155178,6.340540523793988
2007,Yes,Yes,Niassa,Mecula,0.8550426060728906,0.8610102114627626,0.1389897885372382,0,17683.47062430748,area_weighted_exact,NA,NA,NA,85.50426060728907,86.10102114627625,13.89897885372382,0
2007,Yes,Yes,Niassa,Metarica,0.8523960101831397,0.6804246756094142,0.31957532439058434,0,4859.419434926709,area_weighted_exact,NA,NA,NA,85.23960101831398,68.04246756094142,31.957532439058433,0
2007,Uncertain,Uncertain,Niassa,Muembe,0.49173847055216624,0.0237343681110625,0.9564769082620875,0.019788723626850024,5801.928923350374,area_weighted_exact,NA,NA,NA,49.173847055216626,2.37343681110625,95.64769082620876,1.9788723626850024
